title,property_type,bedrooms,bathrooms,area_sqft,location,neighborhood,building,current_rent,previous_rent,annual_rent,url,furnishing,listing_date,agent_notes,scraped_date,average_area_price,area_price_per_sqft,trend_percentage,predicted_roi,price_vs_average_percent
"TruBroker™, Dubai",apartment,0,0,1310.0,"No Commission | Near Metro | Family Building | Prime LocationSilver Sands 1, Al Mankhool, Bur Dubai, Dubai",Al Mankhool,No Commission | Near Metro | Family Building | Prime LocationSilver Sands 1,88990.0,84540.5,1067880.0,https://www.bayut.com/property/details-9213278.html,N/A,2025-04-23,"on 23rd of April 2025TruBroker™AED88,990YearlyApartment22Area:1,310 sqftNo Commission | Near Metro | Family Building | Prime LocationSilver Sands 1, Al Mankhool, Bur Dubai, DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,88990.0,67.93,0,5.0,0.0
", Dubai",apartment,0,0,1461.0,"Hot deal || Cozy Luxurious Fully Furnished 3 BHK Duplex Apartment || AC Free || Wifi Free || Near MetroBoutique 7 Hotel Apartments, Barsha Heights (Tecom), Dubai",Barsha Heights (Tecom),Hot deal || Cozy Luxurious Fully Furnished 3 BHK Duplex Apartment || AC Free || Wifi Free || Near MetroBoutique 7 Hotel Apartments,165000.0,156750.0,1980000.0,https://www.bayut.com/property/details-11433770.html,furnished,2025-04-23,"on 23rd of April 2025AED165,000YearlyApartment33Area:1,461 sqftHot deal || Cozy Luxurious Fully Furnished 3 BHK Duplex Apartment || AC Free || Wifi Free || Near MetroBoutique 7 Hotel Apartments, Barsha Heights (Tecom), DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,117495.0,120.14,0,4.5,40.43150772373292
", Dubai",apartment,0,0,495.0,"Elegant Studio Apartment || Fully Furnished and Ready to Move  || AC Free || Wifi Free || Near MetroBoutique 7 Hotel Apartments, Barsha Heights (Tecom), Dubai",Barsha Heights (Tecom),Elegant Studio Apartment || Fully Furnished and Ready to Move  || AC Free || Wifi Free || Near MetroBoutique 7 Hotel Apartments,69990.0,66490.5,839880.0,https://www.bayut.com/property/details-11434129.html,furnished,2025-04-23,"on 23rd of April 2025AED69,990YearlyApartmentStudio1Area:495 sqftElegant Studio Apartment || Fully Furnished and Ready to Move  || AC Free || Wifi Free || Near MetroBoutique 7 Hotel Apartments, Barsha Heights (Tecom), DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,117495.0,120.14,0,5.5,-40.43150772373292
"TruBroker™, Dubai",villa,0,0,408.0,"Studio | Fully Furnished | Upgraded | 12 ChequesBeverly Residence, JVC District 13, Jumeirah Village Circle (JVC), Dubai",JVC District 13,Studio | Fully Furnished | Upgraded | 12 ChequesBeverly Residence,60000.0,57000.0,720000.0,https://www.bayut.com/property/details-10190356.html,furnished,2025-04-23,"on 23rd of April 2025TruBroker™AED60,000YearlyApartmentStudio1Area:408 sqftStudio | Fully Furnished | Upgraded | 12 ChequesBeverly Residence, JVC District 13, Jumeirah Village Circle (JVC), DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,71000.0,99.09,0,4.4,-15.492957746478872
", Dubai",villa,0,0,2558.0,"Plot:2,015 sqftTHREE BED PLUS MAID ROOM VILLA II KITCHEN APPLINANCES II BEACHFRONTThe Pulse Beachfront, The Pulse, Residential District, Dubai South, Dubai",015 sqftTHREE BED PLUS MAID ROOM VILLA II KITCHEN APPLINANCES II BEACHFRONTThe Pulse Beachfront,Plot:2,155000.0,147250.0,1860000.0,https://www.bayut.com/property/details-11251977.html,N/A,2025-04-23,"on 23rd of April 2025AED155,000YearlyVilla35Built-up:2,558 sqftPlot:2,015 sqftTHREE BED PLUS MAID ROOM VILLA II KITCHEN APPLINANCES II BEACHFRONTThe Pulse Beachfront, The Pulse, Residential District, Dubai South, DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,155000.0,60.59,0,4.0,0.0
", Dubai",villa,0,0,639.0,"Brand New | High Rise | ZERO MAINTENANCE CHARGESJVC007 Building, JVC District 17, Jumeirah Village Circle (JVC), Dubai",JVC District 17,Brand New | High Rise | ZERO MAINTENANCE CHARGESJVC007 Building,62000.0,58900.0,744000.0,https://www.bayut.com/property/details-11000336.html,N/A,2025-04-23,"on 23rd of April 2025AED62,000YearlyApartmentStudio1Area:639 sqftBrand New | High Rise | ZERO MAINTENANCE CHARGESJVC007 Building, JVC District 17, Jumeirah Village Circle (JVC), DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,61333.33,93.07,0,4.0,1.086962015595759
", Dubai",villa,0,0,426.0,"OFFER! 1 Month Free + 0 Maint Fees | Brand NewJVC007 Building, JVC District 17, Jumeirah Village Circle (JVC), Dubai",JVC District 17,OFFER! 1 Month Free + 0 Maint Fees | Brand NewJVC007 Building,55000.0,52250.0,660000.0,https://www.bayut.com/property/details-11000081.html,N/A,2025-04-23,"on 23rd of April 2025AED55,000YearlyApartmentStudio1Area:426 sqftOFFER! 1 Month Free + 0 Maint Fees | Brand NewJVC007 Building, JVC District 17, Jumeirah Village Circle (JVC), DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,61333.33,93.07,0,4.4,-10.326082082939246
", Dubai",apartment,0,0,769.0,"Front View | Great Layout | Fully FurnishedThe Wings C, The Wings, Arjan, Dubai",The Wings,Front View | Great Layout | Fully FurnishedThe Wings C,79999.0,75999.05,959988.0,https://www.bayut.com/property/details-11326246.html,N/A,2025-04-23,"on 23rd of April 2025AED79,999YearlyApartment12Area:769 sqftFront View | Great Layout | Fully FurnishedThe Wings C, The Wings, Arjan, DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,79999.0,104.03,0,5.0,0.0
"TruBroker™, Dubai",apartment,0,0,721.0,"Available Now- Unfurnished-1 Bedroom + BalconyCentrium Tower 1, Centrium Towers, Dubai Production City (IMPZ), Dubai",Centrium Towers,Available Now- Unfurnished-1 Bedroom + BalconyCentrium Tower 1,56000.0,53200.0,672000.0,https://www.bayut.com/property/details-11347376.html,unfurnished,2025-04-23,"on 23rd of April 2025TruBroker™AED56,000YearlyApartment12Area:721 sqftAvailable Now- Unfurnished-1 Bedroom + BalconyCentrium Tower 1, Centrium Towers, Dubai Production City (IMPZ), DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,56000.0,77.67,0,5.0,0.0
", Dubai",villa,0,0,743.0,"🏡 Spacious Unit | ✨ Well-Maintained | 🌆 Open ViewCentral Park Tower, JVC District 12, Jumeirah Village Circle (JVC), Dubai",JVC District 12,🏡 Spacious Unit | ✨ Well-Maintained | 🌆 Open ViewCentral Park Tower,67000.0,63650.0,804000.0,https://www.bayut.com/property/details-11230079.html,N/A,2025-04-23,"on 23rd of April 2025AED67,000YearlyApartment12Area:743 sqft🏡 Spacious Unit | ✨ Well-Maintained | 🌆 Open ViewCentral Park Tower, JVC District 12, Jumeirah Village Circle (JVC), DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,67000.0,90.17,0,4.0,0.0
"TruBroker™, Dubai",villa,0,0,384.0,"FULLY  FURNISHED | PRIME LOCATION \ VACANT UNITDAMAC Ghalia, JVC District 18, Jumeirah Village Circle (JVC), Dubai",JVC District 18,FULLY  FURNISHED | PRIME LOCATION \ VACANT UNITDAMAC Ghalia,45000.0,42750.0,540000.0,https://www.bayut.com/property/details-11350188.html,furnished,2025-04-23,"on 23rd of April 2025TruBroker™AED45,000YearlyApartmentStudio1Area:384 sqftFULLY  FURNISHED | PRIME LOCATION \ VACANT UNITDAMAC Ghalia, JVC District 18, Jumeirah Village Circle (JVC), DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,45000.0,117.19,0,4.0,0.0
"TruBroker™, Dubai",villa,0,0,793.0,"BRANDED | LUXURY PENTHOUSE | HIGH QUALITYThe Autograph, JVC District 10, Jumeirah Village Circle (JVC), Dubai",JVC District 10,BRANDED | LUXURY PENTHOUSE | HIGH QUALITYThe Autograph,110000.0,104500.0,1320000.0,https://www.bayut.com/property/details-10920262.html,N/A,2025-04-23,"on 23rd of April 2025TruBroker™AED110,000YearlyPenthouse12Area:793 sqftBRANDED | LUXURY PENTHOUSE | HIGH QUALITYThe Autograph, JVC District 10, Jumeirah Village Circle (JVC), DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,110000.0,138.71,0,4.0,0.0
"TruBroker™, Dubai",house,0,0,1208.0,"3BR | FURNISHED | HUGE LAYOUT | BRIGHT | 1 CHEQUEBasswood, DAMAC Hills 2 (Akoya by DAMAC), Dubai",DAMAC Hills 2 (Akoya by DAMAC),3BR | FURNISHED | HUGE LAYOUT | BRIGHT | 1 CHEQUEBasswood,80000.0,76000.0,960000.0,https://www.bayut.com/property/details-11069134.html,furnished,2025-04-23,"on 23rd of April 2025TruBroker™AED80,000YearlyTownhouse33Area:1,208 sqft3BR | FURNISHED | HUGE LAYOUT | BRIGHT | 1 CHEQUEBasswood, DAMAC Hills 2 (Akoya by DAMAC), DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,80000.0,66.23,0,4.55,0.0
"TruBroker™, Dubai",villa,0,0,1025.0,"1BR | WITH ALL BILLS INCLUDED | READY TO MOVEPenrose Place, JVC District 13, Jumeirah Village Circle (JVC), Dubai",JVC District 13,1BR | WITH ALL BILLS INCLUDED | READY TO MOVEPenrose Place,82000.0,77900.0,984000.0,https://www.bayut.com/property/details-11315352.html,N/A,2025-04-23,"on 23rd of April 2025TruBroker™AED82,000YearlyApartment12Area:1,025 sqft1BR | WITH ALL BILLS INCLUDED | READY TO MOVEPenrose Place, JVC District 13, Jumeirah Village Circle (JVC), DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,71000.0,99.09,0,3.6,15.492957746478872
", Dubai",villa,0,0,912.0,"BRAND NEW + DISCOUNTED RENT + ZERO MAINT CHARGESImperial Tower, JVC District 17, Jumeirah Village Circle (JVC), Dubai",JVC District 17,BRAND NEW + DISCOUNTED RENT + ZERO MAINT CHARGESImperial Tower,67000.0,63650.0,804000.0,https://www.bayut.com/property/details-10018197.html,N/A,2025-04-23,"on 23rd of April 2025AED67,000YearlyApartment12Area:912 sqftBRAND NEW + DISCOUNTED RENT + ZERO MAINT CHARGESImperial Tower, JVC District 17, Jumeirah Village Circle (JVC), DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,61333.33,93.07,0,4.0,9.239136371692192
", Dubai",villa,0,0,912.0,"REDUCED RENT + ZERO MAINTENANCE FEESImperial Tower, JVC District 17, Jumeirah Village Circle (JVC), Dubai",JVC District 17,REDUCED RENT + ZERO MAINTENANCE FEESImperial Tower,67000.0,63650.0,804000.0,https://www.bayut.com/property/details-10018623.html,N/A,2025-04-23,"on 23rd of April 2025AED67,000YearlyApartment12Area:912 sqftREDUCED RENT + ZERO MAINTENANCE FEESImperial Tower, JVC District 17, Jumeirah Village Circle (JVC), DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,61333.33,93.07,0,4.0,9.239136371692192
", Dubai",villa,0,0,912.0,"LOWER RENT WITH ZERO MAINT FEES | Equipped KitchenImperial Tower, JVC District 17, Jumeirah Village Circle (JVC), Dubai",JVC District 17,LOWER RENT WITH ZERO MAINT FEES | Equipped KitchenImperial Tower,67000.0,63650.0,804000.0,https://www.bayut.com/property/details-10522032.html,N/A,2025-04-23,"on 23rd of April 2025AED67,000YearlyApartment12Area:912 sqftLOWER RENT WITH ZERO MAINT FEES | Equipped KitchenImperial Tower, JVC District 17, Jumeirah Village Circle (JVC), DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,61333.33,93.07,0,4.0,9.239136371692192
", Dubai",villa,0,0,912.0,"Brand New | Free Maintenance | Upgraded AmenitiesImperial Tower, JVC District 17, Jumeirah Village Circle (JVC), Dubai",JVC District 17,Brand New | Free Maintenance | Upgraded AmenitiesImperial Tower,67000.0,63650.0,804000.0,https://www.bayut.com/property/details-10832463.html,N/A,2025-04-23,"on 23rd of April 2025AED67,000YearlyApartment12Area:912 sqftBrand New | Free Maintenance | Upgraded AmenitiesImperial Tower, JVC District 17, Jumeirah Village Circle (JVC), DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,61333.33,93.07,0,4.0,9.239136371692192
"TruBroker™, Dubai",apartment,0,0,469.0,"Fully Furnished | Exclusive | Partial Canal ViewAG Tower, Business Bay, Dubai",Business Bay,Fully Furnished | Exclusive | Partial Canal ViewAG Tower,70000.0,66500.0,840000.0,https://www.bayut.com/property/details-10759981.html,furnished,2025-04-23,"on 23rd of April 2025TruBroker™AED70,000YearlyApartmentStudio1Area:469 sqftFully Furnished | Exclusive | Partial Canal ViewAG Tower, Business Bay, DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,70000.0,149.25,0,5.0,0.0
"TruBroker™, Dubai",villa,0,0,6135.0,"4 Bedroom  Facing Park Huge LayoutMurooj Al Furjan, Al Furjan, Dubai",Al Furjan,4 Bedroom  Facing Park Huge LayoutMurooj Al Furjan,370000.0,351500.0,4440000.0,https://www.bayut.com/property/details-10764466.html,N/A,2025-04-23,"on 23rd of April 2025TruBroker™AED370,000YearlyVilla46Area:6,135 sqft4 Bedroom  Facing Park Huge LayoutMurooj Al Furjan, Al Furjan, DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,370000.0,60.31,0,4.0,0.0
", Dubai",apartment,0,0,1381.0,"Fully Furnished | Ready to Move | Canal ViewDamac Maison Prive Tower B, DAMAC Maison Prive, Business Bay, Dubai",DAMAC Maison Prive,Fully Furnished | Ready to Move | Canal ViewDamac Maison Prive Tower B,190000.0,180500.0,2280000.0,https://www.bayut.com/property/details-11258943.html,furnished,2025-04-23,"on 23rd of April 2025AED190,000YearlyApartment23Area:1,381 sqftFully Furnished | Ready to Move | Canal ViewDamac Maison Prive Tower B, DAMAC Maison Prive, Business Bay, DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,190000.0,137.58,0,5.0,0.0
"TruBroker™, Dubai",villa,0,0,1982.0,"Plot:1,878 sqftBrand New | Single Row | Modern FinishLa Violeta 1, La Violeta, Villanova, Dubailand, Dubai",878 sqftBrand New | Single Row | Modern FinishLa Violeta 1,Plot:1,185000.0,175750.0,2220000.0,https://www.bayut.com/property/details-11422011.html,N/A,2025-04-23,"on 23rd of April 2025TruBroker™AED185,000YearlyTownhouse33Built-up:1,982 sqftPlot:1,878 sqftBrand New | Single Row | Modern FinishLa Violeta 1, La Violeta, Villanova, Dubailand, DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,185000.0,93.34,0,4.0,0.0
", Dubai",apartment,0,0,1202.0,"2 B/R with Balcony | Pool & GymChez Moi Residency, International City Phase 2 (Warsan 4), International City, Dubai",International City Phase 2 (Warsan 4),2 B/R with Balcony | Pool & GymChez Moi Residency,74000.0,70300.0,888000.0,https://www.bayut.com/property/details-5921705.html,N/A,2025-04-23,"on 23rd of April 2025AED74,000YearlyApartment22Area:1,202 sqft2 B/R with Balcony | Pool & GymChez Moi Residency, International City Phase 2 (Warsan 4), International City, DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,74000.0,61.56,0,5.0,0.0
"TruBroker™, Dubai",apartment,0,0,1725.0,"3 B/R Apt with Parking | Al Warqa 1Gargash Building, Al Warqaa 1, Al Warqaa, Dubai",Al Warqaa 1,3 B/R Apt with Parking | Al Warqa 1Gargash Building,105000.0,99750.0,1260000.0,https://www.bayut.com/property/details-10640945.html,N/A,2025-04-23,"on 23rd of April 2025TruBroker™AED105,000YearlyApartment33Area:1,725 sqft3 B/R Apt with Parking | Al Warqa 1Gargash Building, Al Warqaa 1, Al Warqaa, DubaiAgent last visited this property on 23rd of April Email  Call",2025-04-24,105000.0,60.87,0,5.0,0.0
", Dubai",apartment,0,0,756.0,"1 Bed+Study |Single Row | Brand New | Specious LayoutAvencia, DAMAC Hills 2 (Akoya by DAMAC), DubaiAgent last visited this property on 21st of April",DAMAC Hills 2 (Akoya by DAMAC),1 Bed+Study |Single Row | Brand New | Specious LayoutAvencia,840000.0,798000.0,10080000.0,https://www.bayut.com/property/details-11392918.html,N/A,2025-04-21,"on 21st of April 2025AED840,000Apartment11Area:756 sqft1 Bed+Study |Single Row | Brand New | Specious LayoutAvencia, DAMAC Hills 2 (Akoya by DAMAC), DubaiAgent last visited this property on 21st of April Email  Call",2025-04-24,840000.0,1111.11,0,5.0,0.0
N/A,apartment,1,0,637.0,"1BR+Study | Great Value | Brand NewAvencia, DAMAC Hills 2 (Akoya by DAMAC), Dubai",DAMAC Hills 2 (Akoya by DAMAC),1BR+Study | Great Value | Brand NewAvencia,775000.0,736250.0,9300000.0,https://www.bayut.com/property/details-11362526.html,N/A,,"CheckedAED775,000Apartment11Area:637 sqft1BR+Study | Great Value | Brand NewAvencia, DAMAC Hills 2 (Akoya by DAMAC), DubaiProperty authenticity was validated on 16th of April Email  Call",2025-04-24,775000.0,1216.64,0,5.0,0.0
N/A,apartment,0,0,873.0,"Off-Plan Resale | Distress Deal | Motivated SellerPine, Verdes by Haven, Haven by Aldar, Dubailand, Dubai",Verdes by Haven,Off-Plan Resale | Distress Deal | Motivated SellerPine,1280000.0,1216000.0,15360000.0,https://www.bayut.com/property/details-11363121.html,N/A,,"onOff-Plan|ResaleAED1,280,000Apartment11Area:873 sqftOff-Plan Resale | Distress Deal | Motivated SellerPine, Verdes by Haven, Haven by Aldar, Dubailand, DubaiProperty authenticity was validated on 16th of AprilHandoverQ2 2028Payment Plan60/40 Email  Call",2025-04-24,1280000.0,1466.21,0,5.0,0.0
N/A,apartment,9,9,1453.0,"Park View | Motivated Seller | Huge LayoutCilia Building 6, Cilia, Ghaf Woods, Dubailand, Dubai",Cilia,Park View | Motivated Seller | Huge LayoutCilia Building 6,3399999.0,3229999.05,40799988.0,https://www.bayut.com/property/details-11381691.html,N/A,,"onOff-PlanAED3,399,999Apartment23Area:1,453 sqftPark View | Motivated Seller | Huge LayoutCilia Building 6, Cilia, Ghaf Woods, Dubailand, DubaiProperty authenticity was validated on 18th of April Email  Call",2025-04-24,3399999.0,2339.99,0,5.0,0.0
", Dubai",apartment,0,0,1248.0,"Park View | Payment Plan | Bigger LayoutCilia, Ghaf Woods, Dubailand, Dubai",Ghaf Woods,Park View | Payment Plan | Bigger LayoutCilia,3333000.0,3166350.0,39996000.0,https://www.bayut.com/property/details-11322554.html,N/A,,"Off-PlanAED3,333,000Apartment23Area:1,248 sqftPark View | Payment Plan | Bigger LayoutCilia, Ghaf Woods, Dubailand, DubaiHandoverQ3 2027Payment Plan60/40 Email  Call",2025-04-24,3333000.0,2670.67,0,5.0,0.0
